field,value,unit,status,rule
pressure_center,28.0,MPa,DESIGN_CENTER,"Reference operating-pressure center only; not an imposed inlet or outlet pressure."
validated_pressure_min,25.0,MPa,LOCKED_TO_0D_GATE,"Do not allow production BHP below this without extending and rerunning the 0D PVT gate."
validated_pressure_max,30.0,MPa,LOCKED_TO_0D_GATE,"Do not allow injector maximum BHP above this without extending and rerunning the 0D PVT gate."
injector_primary_control,RESERVOIR_TOTAL_RATE,,LOCKED_CONTROL_MODE,"Rate target comes from measured PV and chosen PVI rate; do not set equal to producer rate."
injector_rate_target,"r_PVI * PV_eff",m3/s,DERIVED_FROM_EXPERIMENT,"Use reservoir-condition injected volume rate."
injector_maximum_bhp,"min(apparatus_safe_limit, validated_PVT_upper_bound, experiment_design_cap)",Pa,APPARATUS_AND_PVT_PENDING,"Maximum BHP is a safety/validity limit, not a second rate target."
producer_control,BHP,,LOCKED_CONTROL_MODE,"Fixed outlet/BHP boundary."
producer_bhp,"p_center - DeltaP_design/2",Pa,DERIVED_AFTER_DARCY_ESTIMATE,"Symmetric pressure centering is a bookkeeping convention only; DeltaP comes from Darcy/experimental design."
expected_injector_pressure,"p_center + DeltaP_design/2",Pa,DERIVED_AFTER_DARCY_ESTIMATE,"Expected operating pressure, distinct from maximum BHP."
equal_injection_production_constraint,DISABLED,,LOCKED_POLICY,"Production rate is an outcome of fixed-BHP outlet plus storage/compressibility/phase behavior."
pvi_rate,"TBD_FROM_EXPERIMENT",1/s,EXPERIMENT_PENDING,"Choose from pump capability, target residence time and measurable pressure drop."
residence_time,"PV_eff/Q_inj_target",s,DERIVED,"Equivalent to 1/r_PVI while rate control is active."
darcy_velocity,"Q_inj_target/A_flow",m/s,DERIVED,"Use measured effective open flow area."
pore_velocity,"Q_inj_target/(phi_eff*A_flow)",m/s,DERIVED_CHECK,"Use measured effective porosity only; compare against tracer/residence measurements."
single_phase_darcy_delta_p,"mu_ref*L*Q_inj_target/(k_abs*A_flow)",Pa,DESIGN_ESTIMATE,"First-order pressure-drop scale; use target-T/P reference viscosity and measured k."
multiphase_delta_p_scale,"Q*L/(k_abs*A_flow*lambda_total)",Pa,SECONDARY_ESTIMATE,"Use frozen thermodynamic/transport properties and Corey sensitivity family only after single-phase scale is checked."
pvi_output,"integral(Q_inj_actual_reservoir dt)/PV_eff",PV,LOCKED_OUTPUT,"Use actual injected reservoir volume so BHP-limit switching is reflected."
time_output,physical_time_s,s,SECONDARY_OUTPUT,"Keep physical time, but primary comparison/plots use PVI."
