field,definition,basis,status,notes
instantaneous_component_mass_rate,"m_dot_i,prod = max(0,-m_dot_i,well)",kg/s,LOCKED,"Use exact conserved-component well source."
instantaneous_component_mass_fraction,"Y_i = m_dot_i,prod / sum_j(m_dot_j,prod)",mass,LOCKED,"Undefined/NaN when total producer component mass rate is zero."
cumulative_component_production,"M_i,prod(t)=sum accepted_steps m_dot_i,prod^(n+1) Delta t",kg,LOCKED,"Backward-Euler accepted-step convention."
component_recovery_fraction,"RF_i=M_i,prod/M_i,0",mass_basis,LOCKED,"M_i,0 is initial global in-place conserved-component mass."
instantaneous_light_heavy_enrichment,"E_LH=(Y_L/Y_H)/(w_L0/w_H0)",mass_basis,LOCKED,"Current derived Light group=Gasoline+Diesel; Heavy=OIL_HEAVY."
cumulative_light_heavy_enrichment,"E_LH,cum=(M_L,prod/M_H,prod)/(M_L0/M_H0)",mass_basis,LOCKED,"Separates cumulative selective transport from instantaneous effluent composition."
pvi,"integral(Q_inj_actual_res dt)/PV_eff",dimensionless,LOCKED,"Must use measured operating-condition PV_eff in formal slab."
total_hydrocarbon_recovery,"sum hydrocarbon cumulative produced / sum hydrocarbon initial in-place",mass_basis,REQUIRED_DERIVED,"Report separately from selectivity metrics."
light_group_instantaneous_mass_fraction,"Y_L=sum registered light-component Y_i",mass,LOCKED,"Current registered Light=OIL_GASOLINE+OIL_DIESEL."
light_group_cumulative_production,"M_L,prod=sum registered light-component cumulative masses",kg,LOCKED,"Written explicitly so E_L/H is directly auditable."
light_group_recovery_fraction,"RF_L=M_L,prod/M_L,0",mass_basis,LOCKED,"Group-level recovery distinct from individual-lump RF_i."
heavy_group_instantaneous_mass_fraction,"Y_H=sum registered heavy-component Y_i",mass,LOCKED,"Current Heavy group=OIL_HEAVY."
heavy_group_cumulative_production,"M_H,prod=sum registered heavy-component cumulative masses",kg,LOCKED,"Written explicitly."
heavy_group_recovery_fraction,"RF_H=M_H,prod/M_H,0",mass_basis,LOCKED,"Group-level heavy recovery."
