item,status,blocking_for_flow,acceptance_rule
control_mode_definition,PASS_DESIGN,no,"Injector is reservoir-rate controlled with max-BHP constraint; producer is fixed BHP."
pressure_center_definition,PASS_DESIGN,no,"28 MPa is a design center, not a fixed pressure drop."
apparatus_pressure_rating,OPEN,yes,"Record vessel/tubing/pump safe operating limits and define injector maximum BHP below them."
measured_effective_flow_area,OPEN,yes,"Needed to convert Q to Darcy velocity and pressure gradient."
measured_effective_pore_volume,OPEN,yes,"Authoritative PVI/rate scaling quantity at target T/P."
measured_absolute_permeability_operating_TP,OPEN,yes,"Required for Darcy pressure-drop estimate."
reference_viscosity_operating_TP,OPEN_PROPERTY_GATE,yes,"Use validated phase viscosity at target initial/injected state; do not use an arbitrary room-temperature value."
target_pvi_rate,OPEN,yes,"Choose r_PVI so pump rate, pressure drop and residence time are experimentally measurable."
darcy_pressure_drop_estimate,OPEN,yes,"Compute single-phase DeltaP before fixing BHP targets; document expected and allowable ranges."
producer_bhp,OPEN,yes,"Set only after DeltaP_design is known and keep within the validated PVT pressure window."
injector_maximum_bhp,OPEN,yes,"Set from apparatus safety + 0D PVT validity + experiment design, not numerical convenience."
pvi_output_contract,PASS_DESIGN,no,"Report cumulative actual injected reservoir PV; days/seconds are secondary coordinates."
equal_rate_legacy_constraint,REJECTED,no,"Do not enforce equal injection/production reservoir rates in the laboratory slab."
ALL_FLOW_CONTROL,FLOW_CONTROL_GATE_BLOCKED,yes,"Control modes are defined but apparatus/property inputs are still missing."
