gap_id,target_quantity,current_status,why_needed,blocking_for_lumping,blocking_for_EOS,blocking_for_viscosity,preferred_resolution,notes
G01,total_gas_yield_380C,RESOLVED_RSC_ESI,"needed to reconstruct gas/liquid product split and a full feed basis",no,no,no,"use ESI Table S3 exact replicates","5.80 and 6.21 mL/g shale; duplicate mean 6.005 mL/g shale"
G02,SARA_saturates_380C,RESOLVED_RSC_ESI,"needed to characterize the recovered oil and constrain heavy/aromatic character",no,indirect,yes,"use ESI Table S2 exact replicates","13.9 and 12.5%; duplicate mean 13.2%"
G03,SARA_aromatics_380C,RESOLVED_RSC_ESI,"needed to characterize aromatic content and surrogate choice",no,indirect,yes,"use ESI Table S2 exact replicates","36.2 and 38.2%; duplicate mean 37.2%"
G04,SARA_resins_380C,RESOLVED_RSC_ESI,"needed to quantify polar heavy fraction and decide whether associating Heavy treatment is warranted",no,yes,yes,"use ESI Table S2 exact replicates","23.7 and 24.5%; duplicate mean 24.1%"
G05,SARA_asphaltenes_380C,RESOLVED_RSC_ESI,"needed to quantify the heaviest/polar fraction and decide if a single nonassociating Heavy surrogate is defensible",no,yes,yes,"use ESI Table S2 exact replicates","26.3 and 24.8%; duplicate mean 25.55%"
G06,CH4_380C,RAW_YIELD_RESOLVED_FRACTION_BASIS_UNRESOLVED,"needed if a gas component is retained in the numerical fluid",no,yes,no,"use ESI Table S3 raw mL/g-shale values and resolve composition-normalization basis before forming mole fractions","gas handling is separate from the four recovered-oil boiling-range lumps"
G07,C2_380C,RAW_YIELD_RESOLVED_FRACTION_BASIS_UNRESOLVED,"needed to characterize wet-gas/light-hydrocarbon split",no,yes,no,"use ESI Table S3 raw mL/g-shale values and resolve composition-normalization basis","do not fold gas C2 into OIL_GASOLINE without a common basis"
G08,C3plus_380C,RAW_C3_C6_YIELDS_RESOLVED_AGGREGATION_PENDING,"needed to avoid double-counting volatile hydrocarbons between gas and recovered liquid",no,yes,no,"aggregate only after choosing gas-component topology and common basis","ESI provides separate C3 C4 C5 C6 yields; C6 is zero in both 380C replicates"
G09,CO2_380C,RAW_YIELD_RESOLVED_FRACTION_BASIS_UNRESOLVED,"needed to decide whether CO2 belongs in the later fully compositional fluid",no,yes,no,"use ESI Table S3 raw mL/g-shale values and resolve composition-normalization basis","CO2 is a reaction product and would be treated as pre-existing if included in the present nonreactive flow model"
G10,oil_carbon_number_distribution_380C,FIGURE5_DIGITIZED_SECONDARY_PAIRED,"used to characterize the internal SCN structure of each already-defined boiling-range lump",no,no,yes,"replace raster digitization with author machine-readable GC data if available","380C Figure 5 relative SCN weights are stored in figure5_380c_scn_characterization_basis.csv; they are not used to overwrite Figure 6 lump mass fractions"
G11,oil_simulated_distillation_380C,TOPOLOGY_RESOLVED_SECONDARY_PAIRED_PRIMARY_FRACTIONS_UNRESOLVED,"defines the four experimental boiling-range lumps and paired 380C fractions",no,no,yes,"use ACS Figure 6 for topology; obtain same-raw-shale distillation to replace paired fractions when available","paired pure-kerogen 380C values are gasoline 0.81%, diesel 23.73%, middle 34.11%, heavy 41.35%; topology is fixed, primary raw-shale fractions are not"
G12,lump_specific_gravity,PROVISIONAL_CHARACTERIZED_FROM_SCN_MODEL,"required for petroleum-fraction EOS characterization and viscosity validation",no,no,yes,"validate against measured cut densities/SG or a same-fluid TBP characterization","initial SG values are 0.6914, 0.8362, 0.8965 and 0.9426; these are characterization estimates, not direct density measurements"
G13,lump_average_molecular_weights,PROVISIONAL_CHARACTERIZED_FROM_SCN_MODEL,"required to convert mass fractions to mole fractions and construct EOS pseudo-components",no,no,yes,"validate against measured cut MW or a same-fluid characterization","initial MW values are 82.4, 215.6, 387.3 and 660.1 g/mol; Heavy remains high uncertainty"
G14,oil_viscosity_data,NOT_REPORTED,"needed to validate hydrocarbon-rich-phase viscosity closure",no,no,yes,"obtain recovered-oil and/or fraction viscosity versus T/P plus appropriate correlation validation","target 653 K data are especially important"
G15,380C_specific_mass_balance_or_replicate_spread,RESOLVED_RSC_ESI,"needed to attach run-to-run context to product yields/compositions",no,no,no,"retain raw duplicate runs rather than collapsing them to a single value","mass balance 90 and 91%; duplicate spread is not the same as analytical uncertainty"
