lump_id,target_T_K,target_P_MPa,proxy_system,proxy_role,evidence_type,T_range_K,P_range_MPa,coexistence_compositions,phase_density_or_volume,phase_boundary_or_critical,source,doi,raw_rows_in_repo,admissibility,current_use,notes
OIL_GASOLINE,653.15,25,H2O+n-hexane,primary_ECN6_proxy,"two-phase surface; critical curve; homogeneous molar volumes",550-700,20-240,partial_boundary_composition_space,yes_homogeneous_molar_volume,yes,"Tian; Michelberger; Franck 1991",10.1016/S0021-9614(05)80063-1,no,STRONG_BOUNDARY_PROXY_TABLES_PENDING,"source acquisition; phase-boundary and volume validation","Critical-curve minimum about 628 K/31 MPa; exact table rows must be ingested before production regression."
OIL_GASOLINE,653.15,25,H2O+n-hexane,independent_critical_curve_check,"phase equilibria; critical phenomena",610-675,15-140,not_yet_ingested,not_yet_ingested,yes,"de Loos et al. 1982",10.1016/0021-9614(82)90126-4,no,CROSS_CHECK,"critical-locus hold-out","Reported minimum about 627.8 K and 31 MPa; useful independent boundary check."
OIL_DIESEL,653.15,25,H2O+dodecane,primary_boiling_range_proxy,"VLE/LLE compositions; critical points",600-660,0-31,yes,not_adequate_for_final_density_gate,yes,"Stevenson; LaBracio; Beaton; Thies 1994",10.1016/0378-3812(94)87016-0,no,STRONG_PHASE_EQUILIBRIUM_PROXY_TABLES_PENDING,"raw-data regression target","Directly overlaps target temperature and pressure region; raw tables must be committed before accepting kij(T)."
OIL_DIESEL,653.15,25,H2O+decane,lower_ECN_anchor,"published PR VLE/LLE fits based on experimental literature",573.2-613.2,"VLE and LLE ranges; source-specific",indirect,not_for_density,indirect,"Teratani et al. 2017",10.1627/jpi.60.26,no,PRIOR_ONLY,"temperature-trend and model-form check","Published BIPs use different component property assumptions and cannot be copied into production pseudo-component."
OIL_DIESEL,653.15,25,H2O+n-hexane+n-hexadecane,upper_ECN_cross_check,"ternary LLE compositions",573,30,yes,not_reported,yes_LLE_state,"Brunner; Steffen; Dohrn 1993",10.1016/0378-3812(93)87140-V,no,TERNARY_CROSS_CHECK,"qualitative chain-length bracket","Not a binary n-hexadecane calibration dataset; do not fit a binary BIP from this ternary table alone."
OIL_MIDDLE,653.15,25,H2O+squalane,ECN30_saturated_benchmark,"VLE/LLE compositions; critical points",600-660,0-31,yes,mixture_phase_density_not_adequate,yes,"Stevenson; LaBracio; Beaton; Thies 1994",10.1016/0378-3812(94)87016-0,partial,PARTIAL_PROXY,"model-structure diagnostic and saturated bracket","Exact target-window coexistence rows already exist under scw_kerogen_common; existing PR fit fails full validation gate."
OIL_MIDDLE,653.15,25,H2O+1-methylnaphthalene,aromatic_chemistry_bracket,"published PR VLE fits based on experimental data",573.1-673.2,"source-specific",indirect,not_for_density,indirect,"Teratani et al. 2017",10.1627/jpi.60.26,no,PRIOR_ONLY,"aromatic bracket for kij(T)","Useful because real generated oil is not a pure paraffin fraction."
OIL_MIDDLE,653.15,25,H2O+tetralin,naphthenic_aromatic_bracket,"published PR VLE fits based on experimental data",573.2-672.9,"source-specific",indirect,not_for_density,indirect,"Teratani et al. 2017",10.1627/jpi.60.26,no,PRIOR_ONLY,"naphthenic/aromatic bracket for kij(T)","Not a substitute for measured pseudo-fraction equilibrium."
OIL_HEAVY,653.15,25,H2O+squalane,nonpolar_heavy_benchmark,"VLE/LLE compositions; critical points",600-660,0-31,yes,mixture_phase_density_not_adequate,yes,"Stevenson; LaBracio; Beaton; Thies 1994",10.1016/0378-3812(94)87016-0,partial,BENCHMARK_ONLY,"lower-complexity benchmark","Squalane MW/Tb/SG are far below the >500 C Heavy pseudo-component; never identify this system with OIL_HEAVY."
OIL_HEAVY,653.15,25,H2O+atmospheric_residue,chemically_closer_heavy_oil_proxy,"measured VLE; detailed structural characterization",603-643,2.0-10.2,water_in_liquid_reported,not_sufficient_for_target_phase_density,no_25MPa_LLE_boundary,"Sato et al. 2018",10.1627/jpi.61.256,no,CHEMICALLY_RELEVANT_BUT_TARGET_COVERAGE_INADEQUATE,"heavy chemistry constraint only","Closer to resin/asphaltene-like material but pressure coverage is below target; cannot justify a 25 MPa Heavy BIP alone."
