scheme,lump,boiling_range_C,n_alkane_equivalent_carbon_range,replicate_1_wt_pct,replicate_2_wt_pct,mean_wt_pct,min_wt_pct,max_wt_pct,half_range_wt_pct,range_width_wt_pct,range_width_over_mean_pct,cut_definition_status,composition_status,source_basis,notes
ACS_FOUR_BIN,Gasoline,IBP-180,"IBP to approximately n-C10",0.79,0.83,0.81,0.79,0.83,0.02,0.04,4.94,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED,"ACS SI Table S5 fractions + ACS main article Figure 6 direct boiling-range definitions","Cut is direct from ACS main article Figure 6; carbon-number equivalence is derived from normal-alkane boiling points. Lower carbon bound remains IBP."
ACS_FOUR_BIN,Diesel,180-350,"approximately n-C11 to n-C20",22.68,24.78,23.73,22.68,24.78,1.05,2.10,8.85,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED,"ACS SI Table S5 fractions + ACS main article Figure 6 direct boiling-range definitions","350 C lies between n-C20 (~343.05 C) and n-C21 (~356.55 C)."
ACS_FOUR_BIN,Distillate,350-500,"approximately n-C21 to n-C36",33.97,34.25,34.11,33.97,34.25,0.14,0.28,0.82,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED,"ACS SI Table S5 fractions + ACS main article Figure 6 direct boiling-range definitions","The 350-500 C interval is often called VGO in shale-oil literature; the ACS SI label is Distillate. The 500 C boundary is approximately between n-C36 (~497 C) and n-C37 (~504 C)."
ACS_FOUR_BIN,Heavy_Oil,">500","approximately n-C37+",42.56,40.14,41.35,40.14,42.56,1.21,2.42,5.85,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED,"ACS SI Table S5 fractions + ACS main article Figure 6 direct boiling-range definitions","Carbon-number equivalence is an n-alkane boiling-point mapping, not a statement that the polar/aromatic heavy oil consists only of n-alkanes."
SIMDIST_ALIGNED_THREE_LUMP,Light,IBP-180,"IBP to approximately n-C10",0.79,0.83,0.81,0.79,0.83,0.02,0.04,4.94,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED_DERIVED,"Gasoline bin unchanged","Candidate sensitivity lump aligned exactly to the recovered paired SimDist bins; not the PRIMARY Tongchuan lump fraction."
SIMDIST_ALIGNED_THREE_LUMP,Middle,180-350,"approximately n-C11 to n-C20",22.68,24.78,23.73,22.68,24.78,1.05,2.10,8.85,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED_DERIVED,"Diesel bin unchanged","Candidate sensitivity lump aligned exactly to the recovered paired SimDist bins; not the PRIMARY Tongchuan lump fraction."
SIMDIST_ALIGNED_THREE_LUMP,Heavy,">350","approximately n-C21+",76.53,74.39,75.46,74.39,76.53,1.07,2.14,2.84,DIRECT_ARTICLE_NUMERIC_CUT,SECONDARY_PAIRED_DERIVED,"Distillate + Heavy Oil","This aggregate is directly computable from each recovered ACS replicate because the 350 C cut corresponds approximately to the n-C20/n-C21 boundary. It is the only one of the previous broad C21+ concept that is directly compatible with the SimDist bins."
PREVIOUS_CASE_PROPOSAL,Light,C6-C14,"C6-C14",,,,,,,,UNRESOLVED_FOR_MASS_FRACTION,NOT_QUANTIFIABLE_FROM_ACS_SIMDIST,"previous case proposal","The 180-350 C Diesel bin spans approximately C11-C20 and crosses the C14/C15 boundary, so ACS SimDist cannot supply an experimental C6-C14 mass fraction."
PREVIOUS_CASE_PROPOSAL,Middle,C15-C20,"C15-C20",,,,,,,,UNRESOLVED_FOR_MASS_FRACTION,NOT_QUANTIFIABLE_FROM_ACS_SIMDIST,"previous case proposal","The direct 180-350 C Diesel bin cannot be split into C11-C14 and C15-C20 without carbon-number-resolved data."
PREVIOUS_CASE_PROPOSAL,Heavy,C21+,"C21+",76.53,74.39,75.46,74.39,76.53,1.07,2.14,2.84,COMPATIBLE_ONLY_AS_SECONDARY_PAIRED,SECONDARY_PAIRED_DERIVED,"Distillate + Heavy Oil","The C21+ boundary is approximately compatible with the 350 C SimDist cut, but these percentages belong to acid-pickled kerogen and cannot be promoted to the Tongchuan raw-shale PRIMARY dataset."
