parameter,preferred_first_stage_value,unit,parameter_role,evidence_status,source_id,acceptance_rule
porous_medium,"fired Berea sandstone core; rectangular slab only after same-batch characterization",,physical_medium,REFERENCE_SPECIMEN_DEFINED,NIU2015_BEREA,"Use an actual sandstone specimen, not an abstract reservoir rock."
reference_diameter,38,mm,reference_geometry,DIRECT_REFERENCE_ONLY,NIU2015_BEREA,"Only for the literature-matched cylindrical reference; custom slab dimensions must come from the pressure cell."
reference_length,200,mm,reference_geometry,DIRECT_REFERENCE_ONLY,NIU2015_BEREA,"Only for the literature-matched cylindrical reference."
reference_porosity,0.21,fraction,porosity,DIRECT_REFERENCE_ONLY,NIU2015_BEREA,"Actual experimental specimen porosity must be measured. Do not hard-code 0.21 as measured for another core."
reference_absolute_permeability,212,mD,absolute_permeability,DIRECT_REFERENCE_ONLY,NIU2015_BEREA,"Actual specimen permeability must be measured with single-phase flow; repeat at operating effective stress/T if feasible."
reference_effective_pore_volume,47.6,mL,effective_pore_volume,DIRECT_REFERENCE_ONLY,NIU2015_BEREA,"Actual effective PV must be measured; geometry*porosity is only a consistency check."
wettability,"water-wet prior",,wettability,LOW_T_ANALOGUE_PRIOR,"NIU2015_BEREA;OAK1990_BEREA","Do not call water-wet calibrated at 360-380 C. Treat mixed/neutral wettability as a sensitivity until high-T evidence exists."
permeability_anisotropy,"isotropic screening only",,anisotropy,UNMEASURED_SCREENING,, "For a slab, measure two in-plane principal permeabilities or keep isotropic only as an explicit sensitivity assumption."
capillary_pressure_model,"Brooks-Corey sensitivity only",,capillary_pressure,NOT_SCW_CALIBRATED,"KREVOR2012_BEREA;NIU2015_BEREA","No SCW-hydrocarbon capillary calibration exists. Pc=0 and low-T Berea proxy cases must both be tested until high-T IFT/wettability are measured."
relative_permeability_model,"simplified Corey sensitivity family",,relative_permeability,NOT_SCW_CALIBRATED,"NIU2015_BEREA;OAK1990_BEREA;KIANINEJAD2015","Never label the first-stage Corey curves as experimental SCW relperm."
legacy_model_phi,0.35,fraction,legacy_only,REJECTED_FOR_LAB_MATCH,, "Old scw_kerogen_common value; not admissible for the new laboratory-reproducible case."
legacy_model_kx,1500,mD,legacy_only,REJECTED_FOR_LAB_MATCH,, "Old abstract model value; not admissible without a specimen measurement."
legacy_model_kz,150,mD,legacy_only,REJECTED_FOR_LAB_MATCH,, "Old arbitrary anisotropy; not admissible without measurement."
legacy_model_length,1.20,m,legacy_only,REJECTED_FOR_LAB_MATCH,, "Old reservoir-like geometry; replace with actual core/slab cell dimensions."
