item,status,blocking_for_formal_flow,acceptance_rule
formal_temperature_pair,PASS_DESIGN,no,"360 C / 28 MPa and 380 C / 28 MPa are the mandatory primary pair."
water_state_contrast,PASS_PHYSICAL_BASIS,no,"360 C is below water Tc and compressed at 28 MPa; 380 C is above Tc and Pc."
near_critical_diagnostic,PASS_DESIGN,no,"374 C / 28 MPa is retained only as a diagnostic for near-critical nonlinearity."
only_temperature_varies_numeric_isolation,PASS_DESIGN,no,"Geometry, composition, PVI rate, controls, gravity and Corey/Pc sensitivity parameters are identical in the mechanism-isolation pair."
apparatus_pairing_protocol,OPEN,yes,"Use the same apparatus geometry and matched specimen/batch protocol; record thermal exposure/order to avoid history confounding."
same_feed_preparation,OPEN,yes,"Prepare/verify identical initial and injection compositions for the formal pair."
same_target_pvi_rate,OPEN,yes,"Use the same dimensionless PVI rate; document any Q difference caused only by measured PV_eff(T,p)."
paired_0d_anchor_28MPa,PASS_RUNTIME,no,"PR and CPA each pass BASE zH2O=0.20 at 360 and 380 C, 28 MPa; dedicated output is scw_temperature_control_0d.csv."
paired_property_validation,OPEN_PROPERTY_GATES,yes,"Density/viscosity models must be admissible at both 360 and 380 C."
paired_flow_outputs,PARTIAL_IMPLEMENTATION,yes,"First-class producer composition/recovery/selectivity infrastructure exists; formal 360/380 matched-PVI runtime evidence remains required."
paired_mass_balance,OPEN_RUNTIME,yes,"Both members must pass the same component inventory/closure gate."
temperature_specific_rock_fluid_data_policy,PASS_DESIGN,no,"Measured T-dependent kr/Pc/k may appear only in a separately labelled full-physics analysis, not in the mechanism-isolation pair."
ALL_SCW_CONTROL_PAIR,SCW_CONTROL_PAIR_GATE_BLOCKED,yes,"Design is fixed; laboratory inputs and paired 28 MPa runtime/property gates are still required."
